time,joint_2,joint_3,joint_4,joint_6
0.0,-2.6542024180600757e-05,-0.000841603665029507,-0.00427870336092204,-0.004606316410783292
0.002,-9.777933358525951e-05,-0.00239241398388283,-0.015473308764102288,-0.01726561284757003
0.004,-0.00021031253916948,-0.004715533234326572,-0.027701807707910045,-0.02984065256991724
0.006,-0.0004093490992192229,-0.007632743084338503,-0.040032601519916534,-0.042315089624778895
0.008,-0.0007092861632128057,-0.011027663042564535,-0.05231083337026554,-0.05468865088316306
0.01,-0.0011080957272648743,-0.014828134453432116,-0.06450817140724334,-0.06696194967744187
0.012,-0.0015980643002420883,-0.018982739667826404,-0.07661877758659752,-0.07913574977262504
0.014,-0.0021701762026449523,-0.023450120637834998,-0.08864136857184518,-0.09121084095975515
0.016,-0.0028156272738169793,-0.02819476955756087,-0.10057572408765067,-0.10318801484000611
0.018000000000000002,-0.00352627853772694,-0.03318532497483682,-0.11242189922459564,-0.11506805929688471
0.02,-0.004294747567944827,-0.038393774810721676,-0.12418002439276273,-0.12685175702308144
0.022,-0.005192159371299998,-0.04365323664006809,-0.13585793476603578,-0.1385399593697192
0.024,-0.006220135274506289,-0.048949686846528846,-0.14744440495603323,-0.1501333565001984
0.026000000000000002,-0.0073780425824383974,-0.054275011156477905,-0.15893770224592654,-0.16163270032283983
0.028,-0.008664017361012645,-0.05962451058903302,-0.1703378880245566,-0.17303874884586434
0.03,-0.010075585116009736,-0.06499529690407738,-0.18164548343077752,-0.18435225700476346
0.032,-0.011609991358344679,-0.07038542487929524,-0.1928611720847386,-0.19557397471495686
0.034,-0.013264371677160424,-0.0757934422197979,-0.203985705055289,-0.2067046463029552
0.036000000000000004,-0.015035838075998703,-0.08121815865035706,-0.21501986076598328,-0.21774501029933388
0.038,-0.016921522298714877,-0.08665852773167033,-0.22596442583923937,-0.22869579936564235
0.04,-0.018918597163596094,-0.09211358633343857,-0.23682018559404514,-0.2395577402819873
0.042,-0.021024286672262433,-0.09758242356084805,-0.24758791932837962,-0.25033155396427226
0.044,-0.023235870398158283,-0.10306416472708424,-0.25826839802986507,-0.261017955496215
0.046,-0.025550684968455913,-0.10855796301541396,-0.2688623833286925,-0.2716176541686953
0.048,-0.02796612407802219,-0.1140629950737828,-0.27937062708820887,-0.28213135352265617
0.05,-0.030479637771291104,-0.11957845862220032,-0.28979387132321865,-0.2925597513936357
0.052000000000000005,-0.03308873136855727,-0.12510357109132955,-0.30013284828642484,-0.30290353995695146
0.054,-0.0357909642293804,-0.13063756878994592,-0.31038828064041657,-0.313163405773037
0.056,-0.03858394845167197,-0.13617970634390766,-0.32056088167213304,-0.32334002983267857
0.058,-0.041465347556792945,-0.1417292562746085,-0.3306513555271028,-0.3334340876020228
0.06,-0.04443287518622582,-0.14728550864907167,-0.3406603974513167,-0.3434462490672912
0.062,-0.04748429382264375,-0.1528477707667671,-0.35058869403411436,-0.35337717877916996
0.064,-0.05061741354162591,-0.15841536686515495,-0.36043692344838985,-0.3632275358968599
0.066,-0.05383009079686312,-0.16398763783467993,-0.370205755686005,-0.3729979742317803
