time,joint_2
0.0,-0.00022784744518499704
0.002,-0.0005781865644097554
0.004,-0.0010156797517099356
0.006,-0.0015214783646087422
0.008,-0.0020820410136320393
0.01,-0.002686543207719536
0.012,-0.003326076669322925
0.014,-0.003993257684347481
0.016,-0.004681957250442632
0.018000000000000002,-0.005387088043441907
0.02,-0.006111661270036468
0.022,-0.0068559559735407154
0.024,-0.00761993763042676
0.026000000000000002,-0.00840349850486401
0.028,-0.009206511605851753
0.03,-0.010028842931292652
0.032,-0.010870354306462389
0.034,-0.011730904075228964
0.036000000000000004,-0.012610347291328873
0.038,-0.013508535789775048
0.04,-0.01442531822839941
0.042,-0.015360540121695057
0.044,-0.0163140438727283
0.046,-0.017285668804736254
0.048,-0.01827525119290435
0.05,-0.01928262429649114
0.052000000000000005,-0.020307618391363687
0.054,-0.021350060802970198
0.056,-0.02240977593976189
0.058,-0.02348658532706946
0.06,-0.024580307641435744
0.062,-0.025690758745403733
0.064,-0.02681775172275747
0.066,-0.027961096914211957
0.068,-0.029120601953547164
0.07,-0.03029607180418035
0.07200000000000001,-0.03148730879617024
0.074,-0.032694112663645906
0.076,-0.033916280582652905
0.078,-0.03515360720940855
0.08,-0.03640588471895814
0.082,-0.03767290284422348
0.084,-0.03895444891543485
0.08600000000000001,-0.04025030789993746
0.088,-0.041560262442363105
0.09,-0.04288409290515777
0.092,-0.04422157740945561
0.094,-0.0455724918762899
0.096,-0.04693661006813111
0.098,-0.04831370363074258
0.1,-0.04970354213534392
0.10200000000000001,-0.051105893121072256
0.10400000000000001,-0.0525205221377316
0.106,-0.05394719278882028
0.108,-0.05538566677482664
0.11,-0.05683570393678296
0.112,-0.05829706230006764
0.114,-0.059769498118445806
0.116,-0.06125276591833815
0.11800000000000001,-0.0627466185433082
0.12,-0.06425080719875799
0.122,-0.06576508149682216
0.124,-0.06728918950145052
0.126,-0.06882287777366924
0.128,-0.07036589141701063
0.13,-0.07191797412310172
0.132,-0.0734788682174017
0.134,-0.07504831470507851
0.136,-0.0766260533170147
0.138,-0.07821182255593277
0.14,-0.07980535974263038
0.14200000000000002,-0.08140640106231567
0.14400000000000002,-0.08301468161103319
0.146,-0.08462993544217066
0.148,-0.08625189561303724
0.15,-0.08788029423150374
0.152,-0.08951486250269539
0.154,-0.09115533077572775
0.156,-0.09280142859047669
0.158,-0.0944528847243729
0.16,-0.09610942723921206
0.162,-0.09777078352797144
0.164,-0.09943668036162394
0.166,-0.10110684393594067
0.168,-0.10278099991827329
0.17,-0.10445887349430706
0.17200000000000001,-0.10614018941477625
0.17400000000000002,-0.10782467204213306
0.176,-0.1095120453971616
0.178,-0.11120203320552853
0.18,-0.11289435894426196
0.182,-0.11458874588815032
0.184,-0.11628491715605307
0.186,-0.11798259575711527
0.188,-0.1196815046368778
0.19,-0.12138136672327558
0.192,-0.12308190497251592
0.194,-0.12478284241482918
0.196,-0.1264839022000844
0.198,-0.12818480764326234
0.2,-0.12988528226977827
0.202,-0.13158504986064776
0.20400000000000001,-0.13328383449748776
0.20600000000000002,-0.13498136060734633
0.20800000000000002,-0.13667735300735373
0.21,-0.13837153694918827
0.212,-0.14006363816335002
0.214,-0.14175338290323575
0.216,-0.14344049798900863
0.218,-0.1451247108512563
0.22,-0.1468057495744309
0.222,-0.14848334294006485
0.224,-0.15015722046975635
0.226,-0.15182711246791872
0.228,-0.1534927500642874
0.23,-0.15515386525617925
0.232,-0.1568101909504981
0.234,-0.1584614610054814
0.23600000000000002,-0.160107410272182
0.23800000000000002,-0.16174777463568055
0.24,-0.16338229105602237
0.242,-0.16501069760887452
0.244,-0.16663273352589741
0.246,-0.1682481392348266
0.248,-0.16985665639925962
0.25,-0.17145802795814338
0.252,-0.1730519981649575
0.254,-0.17463831262658913
0.256,-0.17621671834189484
0.258,-0.17778696373994557
0.26,-0.17934879871795015
0.262,-0.1809019746788537
0.264,-0.1824462445686066
0.266,-0.18398136291310074
0.268,-0.18550708585476852
0.27,-0.1870231711888419
0.272,-0.18852937839926717
0.274,-0.1900254686942725
0.276,-0.19151120504158467
0.278,-0.1929863522032919
0.28,-0.1944506767703495
0.28200000000000003,-0.19590394719672533
0.28400000000000003,-0.1973459338331822
0.28600000000000003,-0.19877640896069412
0.28800000000000003,-0.20019514682349393
0.29,-0.2016019236617492
0.292,-0.20299651774386418
0.294,-0.20437870939840505
0.296,-0.20574828104564613
0.298,-0.20710501722873467
0.3,-0.2084487046444718
0.302,-0.20977913217370772
0.304,-0.21109609091134887
0.306,-0.21239937419597485
0.308,-0.21368877763906355
0.31,-0.21496409915382214
0.312,-0.21622513898362256
0.314,-0.21747169973003921
0.316,-0.21870358638048776
0.318,-0.21992060633546304
0.32,-0.22112256943537462
0.322,-0.2223092879869786
0.324,-0.22348057678940425
0.326,-0.22463625315977392
0.328,-0.22577613695841534
0.33,-0.22690005061366453
0.332,-0.22800781914625876
0.334,-0.22909927019331783
0.336,-0.23017423403191314
0.338,-0.23123254360222312
0.34,-0.2322740345302743
0.342,-0.2332985451502671
0.34400000000000003,-0.23430591652648536
0.34600000000000003,-0.23529599247478886
0.34800000000000003,-0.23626861958368803
0.35000000000000003,-0.23722364723500022
0.352,-0.23816092762408678
0.354,-0.23908031577967018
0.356,-0.23998166958323092
0.358,-0.24086484978798323
0.36,-0.2417297200374293
0.362,-0.2425761468834916
0.364,-0.24340399980422267
0.366,-0.24421315122109188
0.368,-0.24500347651584914
0.37,-0.2457748540469648
0.372,-0.2465271651656457
0.374,-0.24726029423142679
0.376,-0.24797412862733828
0.378,-0.24866855877464805
0.38,-0.24934347814717892
0.382,-0.2499987832852007
0.384,-0.25063437380889686
0.386,-0.25125015243140564
0.388,-0.25184602497143543
0.39,-0.2524219003654542
0.392,-0.2529776906794532
0.394,-0.25351331112028447
0.396,-0.25402868004657236
0.398,-0.25452371897919895
0.4,-0.25499835261136294
0.402,-0.2554525088182129
0.404,-0.2558861186660537
0.406,-0.2562991164211272
0.40800000000000003,-0.25669143955796636
0.41000000000000003,-0.2570630287673234
0.41200000000000003,-0.2574138279636717
0.41400000000000003,-0.2577437842922814
0.41600000000000004,-0.25805284813586926
0.418,-0.25834097312082216
0.42,-0.25860811612299484
0.422,-0.2588542372730815
0.424,-0.2590792999615619
0.426,-0.2592832708432215
0.428,-0.2594661198412457
0.43,-0.2596278201508889
0.432,-0.2597683482427181
0.434,-0.2598876838654305
0.436,-0.25998581004824645
0.438,-0.26006271310287693
0.44,-0.2601183826250658
0.442,-0.2601528114957075
0.444,-0.2601659958815394
0.446,-0.2601579352354095
0.448,-0.26012863229611977
0.45,-0.26007809308784474
0.452,-0.2600063269191256
0.454,-0.25991334638144026
0.456,-0.2597991673473488
0.458,-0.25966380896821556
0.46,-0.25950729367150666
0.462,-0.2593296471576641
0.464,-0.25913089839655623
0.466,-0.25891107962350446
0.468,-0.25867022633488684
0.47000000000000003,-0.25840837728331817
0.47200000000000003,-0.2581255744724073
0.47400000000000003,-0.25782186315109135
0.47600000000000003,-0.257497291807547
0.47800000000000004,-0.25715191216267946
0.48,-0.2567857791631887
0.482,-0.2563989509742134
0.484,-0.25599148897155305
0.486,-0.25556345773346784
0.488,-0.2551149250320567
0.49,-0.25464596182421406
0.492,-0.25415664224216516
0.494,-0.25364704358358
0.496,-0.2531172463012665
0.498,-0.25256733399244297
0.5,-0.25199739338759025
0.502,-0.25140751433888325
0.504,-0.25079778980820283
0.506,-0.25016831585472793
0.508,-0.2495191916221084
0.51,-0.24885051932521846
0.512,-0.24816240423649186
0.514,-0.2474549546718382
0.516,-0.2467282819761414
0.518,-0.2459825005083405
0.52,-0.245217727626093
0.522,-0.24443408367002153
0.524,-0.2436316919475439
0.526,-0.24281067871628723
0.528,-0.24197117316708672
0.53,-0.24111330740656914
0.532,-0.2402372164393221
0.534,-0.23934303814964936
0.536,-0.23843091328291277
0.538,-0.2375009854264616
0.54,-0.2365534009901499
0.542,-0.2355883091864423
0.544,-0.2346058620101094
0.546,-0.2336062142175132
0.548,-0.2325895233054834
0.55,-0.2315559494897855
0.552,-0.2305056556831815
0.554,-0.2294388074730841
0.556,-0.2283555730988054
0.558,-0.2272561234284009
0.56,-0.2261406319351103
0.562,-0.22500927467339552
0.5640000000000001,-0.2238622302545776
0.5660000000000001,-0.22269967982207362
0.5680000000000001,-0.2215218070262344
0.5700000000000001,-0.22032879799878485
0.5720000000000001,-0.21912084132686802
0.5740000000000001,-0.21789812802669412
0.5760000000000001,-0.2166608515167963
0.578,-0.21540920759089435
0.58,-0.21414339439036817
0.582,-0.21286361237634233
0.584,-0.21157006430138375
0.586,-0.21026295518081398
0.588,-0.20894249226363798
0.59,-0.20760888500309144
0.592,-0.2062675476867536
0.594,-0.20492313939389883
0.596,-0.20357887479845488
0.598,-0.20223727376414294
0.6,-0.2009003805347167
0.602,-0.1995698644985423
0.604,-0.19824708749757225
0.606,-0.19693315646842574
0.608,-0.19562896656174453
0.61,-0.1943352368909465
0.612,-0.19305254026269053
0.614,-0.19178132792283176
0.616,-0.19052195015846746
0.618,-0.18927467345125695
0.62,-0.1880396947596054
0.622,-0.18681715341025187
0.624,-0.18560714099923845
0.626,-0.18440970963524286
0.628,-0.18322487880250787
0.63,-0.18205264107420124
0.632,-0.1808929668684144
0.634,-0.17974580840685211
0.636,-0.17861110300949395
0.638,-0.17748877583621958
0.64,-0.17637874216782992
0.642,-0.17528090930344367
0.644,-0.17419517813838034
0.646,-0.1731214444759258
0.648,-0.17205960011745267
0.65,-0.1710095337679369
0.652,-0.1699711317877234
0.654,-0.16894427881623889
0.656,-0.16792885828905743
0.658,-0.16692475286614974
0.66,-0.16593184478616796
0.662,-0.16495001615913854
0.664,-0.16397914920786943
0.666,-0.16301912646665645
0.668,-0.1620698309444411
0.67,-0.16113114625837727
0.672,-0.16020295674277008
0.674,-0.15928514753752127
0.676,-0.1583776046595253
0.678,-0.15748021505988555
0.68,-0.15659286666934052
0.682,-0.15571544843389143
0.684,-0.15484785034228962
0.686,-0.15398996344676558
0.6880000000000001,-0.1531416798781503
0.6900000000000001,-0.152302892856348
0.6920000000000001,-0.15147349669695814
0.6940000000000001,-0.15065338681471258
