time,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.2,-1.3077065722821746,-1.3916917075938926,-1.309015971013404,-1.2985755925336138,-1.2805742613212303,-1.2868703580917122
0.202,-1.304888090651672,-1.389533909378752,-1.3064585379910048,-1.2959574876617757,-1.27780462302163,-1.2841542768579042
0.20400000000000001,-1.302072927653075,-1.387378085080939,-1.3039042483387882,-1.2933424031281269,-1.2750376253856581,-1.2814407289461878
0.20600000000000002,-1.299261089352649,-1.3852242313839598,-1.3013530959087696,-1.290730336134025,-1.2722732693029999,-1.2787297150455366
0.20800000000000002,-1.2964525815414063,-1.383072344546494,-1.2988050743989612,-1.2881212837925609,-1.269511555667196,-1.2760212358383796
0.21,-1.2936474097575381,-1.3809224204405404,-1.2962601773686115,-1.285515243133832,-1.2667524853750307,-1.273315292000623
0.212,-1.2908455793069125,-1.3787744545863951,-1.2937183982521785,-1.282912211109827,-1.2639960593259651,-1.270611884201672
0.214,-1.2880470952817975,-1.3766284421847295,-1.29117973037215,-1.2803121845989553,-1.2612422784216106,-1.2679110131044498
0.216,-1.2852519625779626,-1.374484378146003,-1.2886441669507978,-1.2777151604102441,-1.2584911435652422,-1.2652126793654184
0.218,-1.2824601859102907,-1.3723422571174373,-1.286111701120962,-1.275121135287235,-1.2557426556613434,-1.2625168836345952
0.22,-1.2796717698531483,-1.3702020740379988,-1.2835823271963915,-1.2725301108817724,-1.2529974214847037,-1.2598247350620813
0.222,-1.276886718808669,-1.3680638244712837,-1.2810560397428208,-1.269942091997848,-1.2502566018593804,-1.257137104851132
0.224,-1.274105037001233,-1.365927503631554,-1.2785328305447314,-1.2673570728133126,-1.2475206686008413,-1.2544543243420083
0.226,-1.271326728502332,-1.3637931055067305,-1.2760126926294475,-1.264775045980765,-1.2447898101486745,-1.251776515932045
0.228,-1.2685517972496554,-1.361660623854362,-1.2734956185041797,-1.2621960050961434,-1.24206409836954,-1.249103721161821
0.23,-1.2657802470647124,-1.3595300520793776,-1.2709816008976098,-1.2596199447618626,-1.2393435571806335,-1.2464359502886122
0.232,-1.263012081665313,-1.3574013834451943,-1.2684706324268171,-1.2570468603181169,-1.2366281907774854,-1.243773201473733
0.234,-1.2602473037678952,-1.3552746101812725,-1.2659626985676693,-1.25447691736112,-1.2339179972073366,-1.2411154680135619
0.23600000000000002,-1.2574859109640393,-1.3531497162599415,-1.263457752765376,-1.2519112399253807,-1.231212981106764,-1.2384627404249187
0.23800000000000002,-1.2547279045334851,-1.3510266733966754,-1.260955817780505,-1.2493503419463492,-1.2285131320276863,-1.2358150099337657
0.24,-1.2519732873190228,-1.348905473619277,-1.2584568803801308,-1.2467944596208453,-1.2258184366317109,-1.2331722677354369
0.242,-1.2492220628574344,-1.3467861072167877,-1.2559609395629234,-1.2442436958468575,-1.2231288823551405,-1.2305345048175373
0.244,-1.2464742349264568,-1.3446685682779116,-1.2534679876640724,-1.2416980925234296,-1.2204444577052138,-1.227901712026546
0.246,-1.243729807360263,-1.342552850565944,-1.2509780190961062,-1.239157662395492,-1.2177651520615402,-1.2252738801210261
0.248,-1.2409887839579923,-1.3404389484401245,-1.248491027008551,-1.2366224047999568,-1.2150909553409817,-1.222650999820154
0.25,-1.238251168449275,-1.3383268560964972,-1.24600700486243,-1.2340923126821755,-1.212421857784932,-1.2200330618291662
0.252,-1.2355169644800865,-1.3362165677252213,-1.2435259458525838,-1.2315673760296357,-1.2097578498184258,-1.2174200568549995
0.254,-1.2327861756103224,-1.3341080773807323,-1.2410478431929015,-1.2290475834178665,-1.207098921974815,-1.2148119756139164
0.256,-1.2300588053154498,-1.3320013790166996,-1.238572690021802,-1.226532922761016,-1.2044450648533775,-1.2122088088356515
0.258,-1.2273348569902427,-1.3298964664723394,-1.2361004794569506,-1.2240233816533577,-1.2017962690978015,-1.20961054726537
0.26,-1.2246143339530309,-1.3277933334875618,-1.2336312045833673,-1.2215189475345944,-1.1991525253847897,-1.207017181664663
0.262,-1.2218972394500298,-1.3256919737094506,-1.2311648584667263,-1.2190196077663036,-1.1965138244183369,-1.2044287028119995
0.264,-1.2191835766594563,-1.3235923807031813,-1.2287014341548437,-1.216525349669364,-1.193880156926723,-1.2018451015029363
0.266,-1.2164733486953554,-1.3214945479608813,-1.2262409246831294,-1.2140361605419883,-1.1912515136609374,-1.1992663685502025
0.268,-1.2137665586111044,-1.3193984689106526,-1.2237833230777575,-1.2115520276690726,-1.188627885393791,-1.1966924947837225
0.27,-1.2110632094025988,-1.317304136924678,-1.2213286223592568,-1.2090729383272518,-1.1860092629193792,-1.1941234710506134
0.272,-1.208363304011139,-1.3152115453268205,-1.218876815545495,-1.2065988797879745,-1.1833956370527168,-1.1915592882151653
0.274,-1.2056668453260362,-1.3131206873995713,-1.2164278956545282,-1.2041298393195778,-1.1807869986294621,-1.1889999371588182
0.276,-1.2029738361869593,-1.3110315563904544,-1.2139818557071667,-1.2016658041888693,-1.1781833385056872,-1.1864454087801335
0.278,-1.2002842793860475,-1.3089441455179016,-1.2115386887293447,-1.1992067616624327,-1.1755846475576752,-1.1838956939947651
0.28,-1.197598177669807,-1.3068584479766465,-1.209098387754291,-1.196752699007779,-1.1729909166817323,-1.1813507837354291
0.28200000000000003,-1.194915533740808,-1.3047744569426762,-1.2066609458245217,-1.1943036034943861,-1.1704021367940127,-1.1788106689518731
0.28400000000000003,-1.192236350259206,-1.3026921655777752,-1.2042263559936703,-1.1918594623946646,-1.1678182988303505,-1.1762753406108468
0.28600000000000003,-1.1895606298440973,-1.300611567033697,-1.201794611328168,-1.1894202629848565,-1.165239393746099,-1.1737447896960698
0.28800000000000003,-1.1868883750747274,-1.298532654455992,-1.1993657049087867,-1.186985992545883,-1.1626654125159759,-1.1712190072082014
