time,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
0.0,-1.5706381967038248,-1.571273146076058,-1.5691367720844005,-1.5701040171740974,-1.5697061451590466,-1.5697243575771433
0.002,-1.5703124962471606,-1.5719597641013574,-1.5665394652996603,-1.5686722940707107,-1.5675479558468388,-1.5676114551817881
0.004,-1.569819673979548,-1.5724273434534606,-1.5642326143677876,-1.5664971610079683,-1.5648595786772594,-1.5649803880434778
0.006,-1.5691597286139904,-1.5728167941000686,-1.5618141521247508,-1.564014955121042,-1.5619573371876359,-1.562150289831402
0.008,-1.5683320287124254,-1.5730790925832425,-1.5594225432594981,-1.561376525089108,-1.558972314244192,-1.559244587690533
0.01,-1.5673368190393484,-1.573228695040654,-1.5570179009652116,-1.5586702142498063,-1.5559560524078169,-1.5563112758958386
0.012,-1.566174399152794,-1.5732609046388748,-1.55461516493121,-1.5559320347848486,-1.5529295458173287,-1.5533689502066315
0.014,-1.5648463461670952,-1.5731777459636669,-1.5522105224217138,-1.55318052280285,-1.5499010974945098,-1.5504248450025957
0.016,-1.5633673227126514,-1.5729794516156126,-1.5498051810838254,-1.5504217389835264,-1.5468746375987235,-1.5474817718044478
0.018000000000000002,-1.5617507248417333,-1.5726667427213539,-1.5473990242008522,-1.5476588387007602,-1.5438516630654948,-1.5445408233888451
0.02,-1.5600087811135153,-1.5722402321053162,-1.5449922739218063,-1.544893442127375,-1.5408327081390694,-1.5416024242430042
0.022,-1.5581526517317847,-1.5717005937688933,-1.5425849995369219,-1.5421264870282831,-1.5378179233638234,-1.5386667395364197
0.024,-1.5561925193668942,-1.571048497747158,-1.540177295320736,-1.5393585626898756,-1.534807312354316,-1.5357338335071737
0.026000000000000002,-1.554137673452045,-1.570284625612746,-1.5377692331351838,-1.5365900888977915,-1.5318008248248756,-1.532803731141749
0.028,-1.551996587434736,-1.56940966260426,-1.535360882419789,-1.5338213936562881,-1.528798393758314,-1.5298764421191142
0.03,-1.5497769895675193,-1.5684242984299974,-1.5329523062420134,-1.5310527524178843,-1.525799949651241,-1.5269519701459056
0.032,-1.5474859276307134,-1.567329225833317,-1.530543563930112,-1.528284406294807,-1.5228054258448733,-1.5240303165904736
0.034,-1.5451298280813877,-1.566125140130795,-1.5281347110670709,-1.525516571332679,-1.5198147602877858,-1.5211114819027478
0.036000000000000004,-1.5427145740183548,-1.5648207045615428,-1.5257114228674593,-1.5227502272898863,-1.5168278447912669,-1.5181954733166307
0.038,-1.5402455460499733,-1.5634349329315467,-1.5232475277567998,-1.5199857144324114,-1.5138446343975378,-1.5152822962086279
0.04,-1.537727574534443,-1.561969720723898,-1.5207601943748523,-1.5172194065515068,-1.5108653700774382,-1.5123719242541587
0.042,-1.535165105403587,-1.560434390424049,-1.5182450248260893,-1.5144518037201604,-1.5078899930575198,-1.5094643599020334
0.044,-1.5325621835660266,-1.5588337544658661,-1.515707880745928,-1.5116824019262387,-1.5049185136745973,-1.5065595979664188
0.046,-1.5299225147239373,-1.5571740490465034,-1.5131492964892292,-1.508911648044703,-1.501950873005542,-1.5036576400915498
0.048,-1.527249483264122,-1.5554600948135633,-1.5105721388691773,-1.5061397212102083,-1.4989870315230214,-1.500758485982489
0.05,-1.524546186236784,-1.5536967502808252,-1.5079778738198446,-1.5033670051287291,-1.496026936059178,-1.4978621368875038
0.052000000000000005,-1.5218154555331074,-1.5518882549958424,-1.5053684159744287,-1.5005937994918654,-1.4930705408554374,-1.494968593499141
0.054,-1.5190598821696086,-1.550038601709992,-1.5027452416519755,-1.497820434651174,-1.4901177995112642,-1.4920778567993627
0.056,-1.5162818364303505,-1.548151399939418,-1.5001098411470544,-1.4950472040545904,-1.4871686698329394,-1.4891899275628062
0.058,-1.5134834871780807,-1.5462299847233696,-1.4974635137258208,-1.492274392753418,-1.4842231117472882,-1.4863048065660114
0.06,-1.5106668190211459,-1.5442774017522283,-1.4948074831645248,-1.48950226229525,-1.4812810882986072,-1.4834224944737695
0.062,-1.5078336481985517,-1.5422964498003073,-1.4921428551522034,-1.486731058455026,-1.4783425650031574,-1.4805429918942246
0.064,-1.5049856369797425,-1.5402896921727436,-1.4894706509401774,-1.483961008514898,-1.475407509946576,-1.477666299356074
0.066,-1.5021243068634647,-1.538259480628324,-1.4867918026385036,-1.4811923239371574,-1.4724758934994258,-1.4747924173258005
0.068,-1.499251050609313,-1.5362079707437784,-1.4841071662996388,-1.4784252005065013,-1.4695476882176226,-1.4719213462059049
0.07,-1.4963671432394516,-1.534137139213578,-1.4814175254167317,-1.4756598197134556,-1.4666228686601501,-1.4690530863424087
0.07200000000000001,-1.493473752084496,-1.5320487981438844,-1.4787235982887006,-1.4728963494959397,-1.4637014112582007,-1.4661876380275405
0.074,-1.4905719459652211,-1.5299446089276296,-1.4760260427468572,-1.47013494523586,-1.4607832941719092,-1.4633250015043813
0.076,-1.4876627035819874,-1.5278260945947295,-1.473325461481845,-1.467375750564769,-1.4578684971660842,-1.4604651769701333
0.078,-1.4847469211828728,-1.5256946513215666,-1.4706224064467348,-1.464618898192385,-1.4549570014894604,-1.4576081645796435
0.08,-1.4818254195725913,-1.523551558897879,-1.4679173831320291,-1.4618645106536199,-1.4520487897645271,-1.454753964448403
0.082,-1.4788989505199988,-1.5213979903703487,-1.4652108543723597,-1.459112701026126,-1.449143845883919,-1.4519025766554328
0.084,-1.4759682026163001,-1.519235020866667,-1.4625032438945549,-1.4563635735952016,-1.4462421549146849,-1.4490540012458748
0.08600000000000001,-1.4730338066317374,-1.5170636356996083,-1.459794939545177,-1.4536172244799073,-1.44334370300915,-1.4462082382334092
0.088,-1.4700963404141973,-1.5148847377955332,-1.4570862962645594,-1.4508737422165312,-1.440448477322354,-1.4433652876024603
0.09,-1.467156333369414,-1.5126991545107997,-1.4543776388085754,-1.44813320830427,-1.4375564659354547,-1.4405251493102327
0.092,-1.464214270558924,-1.5105076438831964,-1.4516692642485702,-1.4453956977138065,-1.4346676577847937,-1.4376878232885808
0.094,-1.4612705964487773,-1.508310900366967,-1.4489614442631369,-1.44266127936149,-1.4317820425962022,-1.434853309445728
0.096,-1.458325718339101,-1.5061095600933427,-1.4462544272411928,-1.4399300165507964,-1.4288996108242058,-1.4320216076678483
0.098,-1.4553800095019889,-1.5039042056962737,-1.4435484402108565,-1.4372019673831742,-1.4260203535957832,-1.4291927178205177
0.1,-1.4524338120527926,-1.5016953707391478,-1.4408436906090505,-1.434477185140077,-1.423144262658357,-1.4263666397500523
0.10200000000000001,-1.4494874395776902,-1.4994835437756087,-1.4381403679047329,-1.4317557186380332,-1.420271330331721,-1.4235433732847351
0.10400000000000001,-1.4465411795384344,-1.4972691720746858,-1.4354386450879768,-1.4290376125584563,-1.4174015494636136,-1.4207229182359455
0.106,-1.4435952954733529,-1.4950526650380276,-1.4327386800359245,-1.426322907753858,-1.4145349133886798,-1.4179052743991967
0.108,-1.4406500290120228,-1.4928343973346796,-1.4300406167658162,-1.423611641532017,-1.4116714158905697,-1.4150904415550898
0.11,-1.4377056017195313,-1.4906147117767652,-1.427344586584413,-1.4209038479195903,-1.4088110511669436,-1.4122784194701914
0.112,-1.4347622167848606,-1.4883939219574804,-1.4246507091423806,-1.418199557906558,-1.4059538137971708,-1.4094692078978388
0.114,-1.4318200605666724,-1.4861723146710515,-1.4219590934014843,-1.4154987996728217,-1.4030996987125148,-1.4066628065788815
0.116,-1.428879304008633,-1.4839501521326683,-1.4192698385218023,-1.4128015987981937,-1.4002487011686275,-1.403859215242363
0.11800000000000001,-1.4259401039353614,-1.4817276740149266,-1.4165830346755637,-1.410107978456937,-1.3974008167201708,-1.401058433606146
0.12,-1.423002604239145,-1.479505099315935,-1.413898763793679,-1.4074179595979466,-1.394556041197408,-1.398260461377489
0.122,-1.4200669369666805,-1.4772826280730005,-1.4112171002505212,-1.4047315611115905,-1.3917143706846165,-1.3954652982535753
0.124,-1.4171332233143188,-1.4750604429346434,-1.408538111492064,-1.4020487999841644,-1.3888758015001796,-1.392672943922
0.126,-1.4142015745395538,-1.4728387106026544,-1.4058618586120588,-1.3993696914408482,-1.3860403301782325,-1.3898833980612177
0.128,-1.4112720927958433,-1.4706175831549209,-1.40318839688054,-1.396694249077997,-1.383207953451741,-1.3870966603409534
0.13,-1.4083448718972387,-1.4683971992588802,-1.4005177762286072,-1.3940224849855394,-1.380378668236903,-1.3843127304225817
0.132,-1.40541999801875,-1.4661776852846313,-1.3978500416930923,-1.3913544098602035,-1.3775524716187726,-1.3815316079594746
0.134,-1.4024975503378676,-1.4639591563259966,-1.3951852338244297,-1.3886900331102436,-1.3747293608380091,-1.378753292597322
0.136,-1.399577601622202,-1.461741717137138,-1.3925233890607716,-1.3860293629522906,-1.3719093332786667,-1.3759777839744263
0.138,-1.3966602187677777,-1.4595254629917047,-1.3898645400711398,-1.3833724065009072,-1.3690923864569422,-1.3732050817219732
0.14,-1.3937454632921396,-1.4573104804709123,-1.3872087160701736,-1.3807191698513872,-1.3662785180108075,-1.3704351854642816
0.14200000000000002,-1.3908333917860665,-1.455096848186429,-1.3845559431068217,-1.3780696581563006,-1.3634677256904566,-1.3676680948190327
0.14400000000000002,-1.3879240563273774,-1.4528846374434516,-1.3819062443291348,-1.3754238756962467,-1.360660007349505,-1.3649038093974828
0.146,-1.3850175048600117,-1.4506739128489163,-1.3792596402271327,-1.3727818259452529,-1.3578553609368806,-1.3621423288046561
0.148,-1.3821137815413007,-1.448464732869379,-1.3766161488555635,-1.3701435116312122,-1.3550537844893547,-1.359383652639525
0.15,-1.3792129270600992,-1.4462571503427235,-1.3739757860382127,-1.367508934791736,-1.3522552761246593,-1.356627780495176
0.152,-1.3763149789282216,-1.4440512129475163,-1.3713385655552939,-1.364878096825765,-1.3494598340351498,-1.353874711958961
0.154,-1.3734199717474234,-1.441846963633506,-1.3687044993153166,-1.3622509985412572,-1.3466674564819643,-1.351124446612637
0.156,-1.3705279374539716,-1.439644441016483,-1.3660735975127185,-1.3596276401992464,-1.343878141789644,-1.3483769840324984
0.158,-1.3676389055426887,-1.437443679740444,-1.3634458687724385,-1.3570080215545506,-1.3410918883411778,-1.3456323237894932
0.16,-1.3647529032721852,-1.4352447108097643,-1.360821320282512,-1.354392141893376,-1.3383086945734382,-1.3428904654493348
0.162,-1.3618699558528549,-1.4330475618938627,-1.3581999579156783,-1.3517800000680593,-1.3355285589729748,-1.340151408572604
0.164,-1.3589900866190805,-1.4308522576066276,-1.355581786340914,-1.3491715945291611,-1.332751480072141,-1.337415152714843
0.166,-1.3561133171869657,-1.4286588197626962,-1.3529668091257196,-1.34656692335511,-1.3299774564455233,-1.3346816974266416
0.168,-1.3532396675988072,-1.4264672676125016,-1.3503550288299313,-1.34396598427959,-1.3272064867066549,-1.3319510422537177
0.17,-1.3503691564554163,-1.4242776180578436,-1.3477464470917555,-1.341368774716836,-1.3244385695049832,-1.3292231867369932
0.17200000000000001,-1.3475018010373045,-1.422089885849593,-1.3451410647066737,-1.3387752917850018,-1.321673703523079,-1.3264981304126613
0.17400000000000002,-1.3446376174156678,-1.4199040837690124,-1.342538881699804,-1.3361855323277456,-1.3189118874740633,-1.3237758728122504
0.176,-1.3417766205540174,-1.417720222794046,-1.3399398973922652,-1.3335994929341706,-1.3161531200992351,-1.321056413462685
0.178,-1.3389188244012455,-1.4155383122518226,-1.3373441104620374,-1.331017169957244,-1.313397400165886,-1.3183397518863385
0.18,-1.3360642419768376,-1.4133583599585176,-1.3347515189997787,-1.3284385595308152,-1.3106447264652838,-1.3156258876010858
0.182,-1.333212885448889,-1.411180372347614,-1.3321621205600112,-1.325863657585337,-1.307895097810816,-1.3129148201203509
0.184,-1.3303647662055313,-1.4090043545875302,-1.3295759122080637,-1.3232924598623903,-1.305148513036274,-1.3102065489531503
0.186,-1.327519894920313,-1.4068303106894886,-1.3269928905631225,-1.3207249619281063,-1.3024049709942744,-1.3075010736041341
0.188,-1.3246782816120473,-1.4046582436064403,-1.3244130518377113,-1.3181611591855682,-1.299664470554799,-1.3047983935736258
0.19,-1.3218399356995842,-1.402488155323781,-1.3218363918738973,-1.3156010468862727,-1.2969270106038504,-1.302098508357657
0.192,-1.319004866051937,-1.4003200469425416,-1.3192629061764956,-1.313044620140724,-1.2941925900422087,-1.2994014174480015
0.194,-1.316173081034146,-1.398153918755678,-1.3166925899435187,-1.3104918739282256,-1.2914612077842853,-1.2967071203322067
0.196,-1.313344588549245,-1.3959897703180273,-1.3141254380941036,-1.3079428031059337,-1.288732862757063,-1.2940156164936232
0.198,-1.3105193960766448,-1.393827600510463,-1.31156144529412,-1.3053974024172286,-1.2860075538991178,-1.2913269054114325
0.2,-1.3076975107072484,-1.3916674075987236,-1.309000605979658,-1.3028556664994562,-1.2832852801597134,-1.288640986560673
