epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4417,0.55257,2.7511,0.99507,0.00333,1,0.995,0.982,0.21152,2.64481,0.75841,0.0002,0.0002,0.0002
2,90.7624,0.45352,1.55277,0.9074,0.00333,1,0.995,0.9211,0.34162,2.44989,0.77893,0.00033684,0.00033684,0.00033684
3,135.18,0.38713,1.06717,0.87274,0.9724,1,0.995,0.9514,0.28108,2.32067,0.76728,0.00038656,0.00038656,0.00038656
4,179.965,0.3662,0.95867,0.86846,0.99665,1,0.995,0.98449,0.24317,2.26955,0.76558,0.00034916,0.00034916,0.00034916
5,224.907,0.33785,0.83813,0.87032,0.98813,1,0.995,0.9901,0.23471,1.97365,0.75715,0.00022464,0.00022464,0.00022464
